City,Yıl,April,August,December,February,January,July,June,March,May,November,October,September
ADANA,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli
ADIYAMAN,2024,Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
AGRI,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak
AKSARAY,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
AMASYA,2024,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli
ANKARA,2024,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
ANTALYA,2024,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Çok Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli
ARDAHAN,2024,Yarı Kurak,Nemli,Kurak,Kurak,Kurak,Nemli,Nemli,Kurak,Yarı Nemli,Kurak,Yarı Kurak,Yarı Nemli
ARTVIN,2024,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli
AYDIN,2024,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Nemli,Nemli
BALIKESIR,2024,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli
BARTIN,2024,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli,Nemli,Çok Nemli,Çok Nemli
